Domain,Malware,Date added,Source
russiaisbetterthanukraine.me,zstealer,2023-04-25,ViriBack
myserveur855.cc,amadey,2023-04-24,ViriBack
deveparty.com,nemesis,2023-04-17,ViriBack
plus-lema.com,nemesis,2023-04-17,ViriBack
es-megadom.com,nemesis,2023-04-17,ViriBack
rupeika.info,amadey,2023-04-13,ThreatShare
specialblue.pm,amadey,2023-04-13,ThreatShare
soul-kissed.org,amadey,2023-04-13,ThreatShare
sekmezsolmazgobiles2.net,hydra,2023-04-12,ViriBack
haygobilonisyones2.net,hydra,2023-04-12,ViriBack
gobronis2.net,hydra,2023-04-11,ViriBack
toped.zigzagcollection.my.id,oski,2023-04-08,ThreatShare
focustopbreed78d.com,amadey,2023-04-08,ThreatShare
ziglar.xyz,gomorrah,2023-04-03,ViriBack
web-panel.online,unam,2023-04-03,ViriBack
fermonesgobide.com,hydra,2023-03-31,ViriBack
chasamloriger.su,agenttesla,2023-03-31,ViriBack
sertvs.com,amadey,2023-03-26,ThreatShare
predator.blablacar-es-transaction.xyz,predator,2023-03-26,ThreatShare
jqscr.com,keitaro,2023-03-21,ViriBack
jqueryns.com,keitaro,2023-03-21,ViriBack
nestleservers.xyz,amadey,2023-03-16,ThreatShare
teleportstation.tk,lokibot,2023-03-05,ThreatShare
maximumpushtodaynotnowbut.com,amadey,2023-02-28,ThreatShare
motiontodaynotgogoodnowok.com,amadey,2023-02-28,ThreatShare
lku7.tk,agenttesla,2023-02-25,ViriBack
mavelecgr.com,gomorrah,2023-02-22,ViriBack
sjunmel.org,gomorrah,2023-02-20,ViriBack
eerier-safety.000webhostapp.com,gomorrah,2023-02-20,ViriBack
pako.saturncnc.tk,blacknet,2023-02-17,ViriBack
dropbuyinc.ga,tesla,2023-02-14,ThreatShare
catknock.com,agenttesla,2023-02-14,ViriBack
service.elite-crew.ml,blacknet,2023-02-10,ThreatShare
smkpro.to,amadey,2023-02-09,ViriBack
hghfe.tk,lokibot,2023-02-09,ViriBack
amazingtodaynotsaidhimherwhathe.com,amadey,2023-02-02,ThreatShare
msupgrade.top,amadey,2023-02-02,ThreatShare
specialblueitems.com,keitaro,2023-01-31,ViriBack
violetlovelines.com,keitaro,2023-01-31,ViriBack
panel.cheater-zone.com,gomorrah,2023-01-30,ViriBack
lazarovs.ga,lokibot,2023-01-28,ThreatShare
efvsx.ga,lokibot,2023-01-27,ThreatShare
efvsx.cf,lokibot,2023-01-27,ThreatShare
ugdskru-kia-7.cf,oski,2023-01-20,ThreatShare
allfamax.com,lokibot,2023-01-20,ThreatShare
russianmen75.top,simpleloader,2023-01-18,ViriBack
pleasetake.pictures,amadey,2023-01-18,ThreatShare
client.cheater-zone.com,collector,2023-01-18,ThreatShare
bitcoinpricealertexpert.com,amadey,2023-01-18,ThreatShare
coindexalerter.com,amadey,2023-01-18,ThreatShare
uniswapdataprice.com,amadey,2023-01-18,ThreatShare
assaggip.gq,lokibot,2023-01-18,ThreatShare
hellomr.observer,amadey,2023-01-18,ThreatShare
immagirls.myvnc.com,oski,2023-01-18,ThreatShare